,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
4487,1010146,Long Beach Downtown Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,212 West Third Street,Long Beach ,Los Angeles,California,90802,01/01/2014 to 12/31/2014,Fri: 10:00 AM-3:00 PM;,,,,,,,-118.194516,33.770351,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,5/14/2014 1:54:48 PM
4489,1003702,Long Beach Southeast CFM,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,6530 Marina Drive,Long Beach,Los Angeles,California,90803,01/01/2014 to 12/31/2014,Sun: 9:00 AM-2:00 PM;,,,,,,,-118.1116,33.75553,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,5/12/2014 7:01:29 PM
4490,1003706,Long Beach Uptown Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,4600 Atlantic Avenue,Long Beach,Los Angeles,California,90807,01/01/2014 to 12/31/2014,Thu: 3:00 PM-6:30 PM;,,,,,,,-118.184678,33.842290999999996,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,5/12/2014 6:46:34 PM
4565,1003144,Lynwood Farmers Market,http://www.farmernet.com,,,,,Martin Luther King & Cesar Chavez Lane,Compton,Los Angeles,California,90221,,,,,,,,,-121.97200000000001,37.248000000000005,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4669,1001537,Malibu Farmer's Market,http://www.malibufarmersmarket.net,,,,,23519 Civic Center Way,Malibu,Los Angeles,California,90265,,,,,,,,,-118.69,34.036,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 24 2010  9:01PM
4692,1005022,Manhattan Beach Farmers Market,http://www.mbfarmersmarket.com,,,,,"13th Street, between Valley and Morningside Drives",Manhattan Beach,Los Angeles,California,90266,September to May,Tue:11:00 am - 4:00 pm;,,,,,,,-118.40899999999999,33.8869,Closed-off public street,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/17/2011 2:52:15 PM
4715,1001878,Mar Vista Farmers' Market,http://www.marvistafarmersmarket.org,,,,,3826 Grand View Blvd/ Grand View at Venice Blvd,Los Angeles,Los Angeles,California,90066,01/01/2013 to 12/31/2013,Sun: 9:00 AM-2:00 PM;,,,,,,,-118.431172,34.003859999999996,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/27/2013 12:10:00 PM
4890,1003443,Melrose Place Farmers Market,http://www.ccfm.com,,,,,Melrose Place & Craft,Tarzana,Los Angeles,California,91356,,,,,,,,,-118.37299999999999,34.0835,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5057,1010037,MLK Campus Farmers' Market,http://www.seela.org/,https://www.facebook.com/MLKCampusFarmersMarket/,,,instagram- mlkcampusfm,1670 E 120th St,Los Angeles,Los Angeles,California,90059,01/01/2018 to 12/31/2018,Wed: 9:00 AM-2:00 PM;,,,,,,,-118.243583,33.923533,,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/30/2018 1:25:34 PM
5091,1002882,Monrovia Farmers Market,http://www.farmernet.com,,,,,Olive & Myrtle Ave.,Los Angeles,Los Angeles,California,90018,,,,,,,,,-118.001,34.1448,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5128,1002376,Montrose Harvest Market Farmers Market,http://www.farmernet.com,,,,,Honolulu & Ocean Avenue,Santa Barbara,Los Angeles,California,93101,,,,,,,,,-119.713,34.4222,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5476,1003200,North Hollywood Valley Farmers Market,,,,,,Bellingham & Victory Blvd.,Sherman Oakes,Los Angeles,California,91423,,,,,,,,,-118.399,34.1864,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5545,1018728,Northridge Farmers Market and family festival,http://northridgefarmersmarket.org,https://www.facebook.com/northridgefarmersmarket/,,,,9301 tampa ave,northridge,Los Angeles,California,91324,03/14/2018 to 10/31/2018,Wed: 5:00 PM-9:00 PM;,,,,,,,-118.5562362,34.238573200000005,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,7/27/2018 3:02:47 PM
5566,1001858,Norwalk Farmers Market,http://www.farmernet.com,,,,,Alondra & Pioneer,Norwalk,Los Angeles,California,90650,,,,,,,,,-118.08200000000001,33.8877,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5664,1011298,Old L.A. Certified Farmers Market,http://oldla.org,Highland Park Old L.A. Certified Farmers Market,,,,North Figueroa & Ave. 58,Los Angeles ,Los Angeles,California,90042,01/01/2015 to 12/31/2015,Tue: 3:00 PM-8:00 PM;,,,,,,,-118.192843,34.110554,,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,7/6/2015 3:06:39 PM
5684,1012793,Old Town Newhall Farmers Market,http://oldtownnewhall.com,Old Town Newhall Farmers Market,Old Town Newhall FM,,Instagram,24500 Main Street,Newhall,Los Angeles,California,91321,01/01/2016 to 12/31/2016,Sat: 8:30 AM-12:30 PM;,,,,,,,-118.51821499999998,34.359773,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,8/24/2016 2:17:23 PM
5837,1003448,Pacific Palisades Farmers Market,,,,,,Swarthmore & Sunset Streets,Pacific Palisades,Los Angeles,California,,,,,,,,,,-118.535,34.0533,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
5865,1011995,Palos Verdes Farmers Market,,https://www.facebook.com/palosverdesfarmersmarket/,@farmersmarketpv,,http://instagram.com/palosverdesfarmersmarket,27118 Silver Spur Road,Rolling Hills Estates ,Los Angeles,California,90274,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.373725,33.779336,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,7/26/2018 4:23:51 PM
5872,1012339,Paramount City Farmers' Market,http://Socalfarmersmarkets.net,www.facebook.com/paramountfarmersmarket,,,www.instagram.com/socalfarmersmarkets,15500 Downey Ave. ,Paramount ,Los Angeles,California,90723,01/01/2016 to 12/31/2016,Fri: 9:30 AM-1:30 PM;,,,,,,,-118.151223,33.891775,,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,7/7/2016 9:17:05 PM
5897,1009625,Pasadena City Hall Wednesdays (Summer Evenings),http://www.pasadenafarmersmarket.org/ ,https://www.facebook.com/pages/Pasadena-Farmers-Market/133188605508,https://twitter.com/pasadenacfm,pasadenacfm,,100 N. Garfield Ave.,Pasadena ,Los Angeles,California,91101,04/16/2014 to 10/29/2014,Wed: 4:00 PM-8:00 PM;,,,,,,,-118.14411899999999,34.147659999999995,Closed-off public street,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,8/12/2014 12:26:19 PM
5898,1008716,PASADENA-VICTORY PARK (SATURDAY),http://WWW.PASADENAFARMERSMARKET.ORG,https://www.facebook.com/pages/Pasadena-Farmers-Market/133188605508,https://twitter.com/PASADENACFMS,,,2901 n SIERRA MADRE BLVD,PASADENA,Los Angeles,California,91107,01/05/2013 to 01/26/2013,Sat: 7:30 AM-1:00 PM;,,,,,,,-118.0917703,34.1615278,Other,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2013 9:08:56 PM
5899,1008719,PASADENA-VILLA PARKE (TUES),http://WWW.PASADENAFARMERSMARKET.ORG,https://www.facebook.com/pages/Pasadena-Farmers-Market/133188605508,https://twitter.com/PASADENACFMS,,,363 E VILLA STREET,PASADENA,Los Angeles,California,91101,01/08/2013 to 12/31/2013,Tue: 8:00 AM-1:00 PM;,,,,,,,-118.14392600000001,34.154387,Local government building grounds,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,6/27/2013 9:06:59 PM
6102,1002350,Playa Vista Certified Farmers' Market,http://www.playavistaFM.com,www.facebook.com/playavistaFM,https://twitter.com/playavistaFM,,,6500 Seabluff Drive,Playa Vista,Los Angeles,California,90094,01/01/2013 to 06/03/2013,Sat: 9:00 AM-2:00 PM;,06/05/2013 to 10/31/2013,Wed: 4:00 PM-8:00 PM;Sat: 9:00 AM-2:00 PM;,11/02/2013 to 12/31/2013,Sat: 9:00 AM-2:00 PM;,,,-118.421939,33.972623999999996,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,6/24/2013 1:59:34 PM
6138,1001497,Pomona Valley Farmers Market,http://www.farmernet.com,,,,,Pearl & Garey,Pomona,Los Angeles,California,91768,,,,,,,,,-117.75,34.0646,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
6368,1005000,Redondo Beach Certified Farmers Market,http://www.redondo.org/depts/recreation/facilities/farmers_market.asp,,,,,309 Esplanade,Redondo Beach,Los Angeles,California,90277,01/01/2015 to 12/31/2015,Thu: 8:00 AM-1:00 PM;,,,,,,,-118.389509,33.836486,,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/27/2015 3:34:24 PM
6707,1008699,San Dimas CFM,http://www.AFHL.ORG,https://www.facebook.com/pages/San-Dimas-Farmers-Market/106993032668777,,,,142 E. Bonita Ave.,San Dimas ,Los Angeles,California,91773,04/02/2014 to 09/03/2014,Wed: 4:00 PM-8:30 PM;,,,,,,,-117.80418999999999,34.107749,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,3/14/2014 12:15:45 PM
6713,1009626,San Gabriel CFM (Thursday Summer Evenings),,,,,,Vincent Lugo Park 300 W. Wells Ave.,San Gabriel ,Los Angeles,California,91776,04/03/2014 to 09/25/2014,Thu: 4:00 PM-8:00 PM;,,,,,,,-118.10654,34.084723,Other,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,3/14/2014 11:54:11 AM
6764,1018115,Santa Monica Farmers Market - Saturday Downtown,http://farmersmarket.smgov.net,MonicaFarMar,smfms,,smfms (Instagram),300 Arizona Ave,Santa Monica ,Los Angeles,California,90401,01/01/2017 to 12/31/2017,Sat: 8:00 AM-1:00 PM;,,,,,,,-118.49763090000002,34.017045,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,6/20/2017 1:10:29 PM
6765,1012321,Santa Monica Farmers Market - Sunday Main Street,http://www.farmersmarket.smgov.net,santa monica farmers markets,smfms,City of Santa Monica Farmers Markets,Instagram:  SMFMs,2640 Main Street,Santa Monica,Los Angeles,California,90405,01/01/2016 to 12/31/2016,Sun: 8:30 AM-1:30 PM;,,,,,,,-118.483333,34.001456299999994,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,7/7/2016 4:07:26 PM
6766,1018140,Santa Monica Pico,http://farmersmarket.smgov.net,MonicaFarMar,smfms,,smfms (Instagram),2200 Virginia Ave,Santa Monica ,Los Angeles,California,90404,01/01/2017 to 12/31/2017,Sat: 8:00 AM-1:00 PM;,,,,,,,-118.4681932,34.0213001,,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,6/20/2017 1:23:42 PM
6974,1005576,Sierra Madre CFM,,,,,,S. Baldwin St. & Mariposa St.,,Los Angeles,California,,,,,,,,,,-118.053,34.1609,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
6984,1011044,Silver Lake CFM,,wwww.facebook.com/silverlake.cfm,,,,1500 Griffith Park Blvd,Los Angeles,Los Angeles,California,90026,01/01/2019 to 12/31/2019,Tue: 1:00 PM-7:00 PM;Sat: 8:00 AM-1:30 PM;,,,,,,,-118.277386,34.090540999999995,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,12/25/2018 12:02:06 PM
7079,1003707,South Gate Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,4855 Tweedy Blvd,South Gate,Los Angeles,California,90280,01/01/2014 to 12/31/2014,Mon: 10:00 AM-3:00 PM;,,,,,,,-118.18474499999999,33.942098,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/12/2014 6:30:07 PM
7102,1001461,South Pasadena Farmers Market,http://www.southpasadenafarmersmarket.org,https://www.facebook.com/pages/South-Pasadena-Farmers-Market/130261473671096,,,,Meridan Ave. and El Centro Street,South Pasadena,Los Angeles,California,91030,03/14/2013 to 11/07/2013,Thu: 4:00 PM-8:00 PM;,11/14/2013 to 03/13/2014,Thu: 4:00 PM-7:00 PM;,,,,,-118.15728179999999,34.1147385,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,3/31/2014 11:23:28 PM
7349,1005965,Studio City Farmers Market,,,,,,Ventura Place And Radford Avenue,Studio City,Los Angeles,California,,,,,,,,,,-118.39299999999999,34.1434,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
7480,1003445,Tarana Farmers Market,http://www.farmernet.com,,,,,19130 Ventura Blvd.,Tarzana,Los Angeles,California,91356,,,,,,,,,-118.54899999999999,34.1726,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
7516,1008720,Temple City CFM ,http://WWW.PASADENAFARMERSMARKET.ORG,https://www.facebook.com/pages/Temple-City-Farmers-Market/117101011699239,https://twitter.com/TempleCityFarmersMarket,,,9701 Las Tunas Blvd,Temple City,Los Angeles,California,91780,01/01/2014 to 12/31/2014,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.05786299999998,34.107690000000005,Other,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,3/14/2014 11:25:26 AM
7539,1000574,The BLVD Market,http://www.cityoflancasterca.org/blvdmarket,https://www.facebook.com/TheBlvdFarmersMarket,,,,"Lancaster Boulevard, between Fern Avenue and Ehrlich Avenue",Lancaster,Los Angeles,California,93534,04/06/2017 to 10/26/2017,Thu: 4:00 PM-9:00 PM;,11/02/2017 to 03/29/2018,Thu: 2:00 PM-6:00 PM;,,,,,-118.14326899999999,34.697669,,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,6/28/2017 12:25:26 PM
7725,1011757,The WALL Food + Flowers + Farmers Market,http://www.communityevent.org,The WALL Food Flowers,The WALL,,TheWallLA on Instagram,755 Wall Street,Los Angeles,Los Angeles,California,90014,01/01/2016 to 12/31/2016,Sat: 9:00 AM-2:00 PM;,,,,,,,-118.249691,34.040809,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,1/21/2016 3:51:25 PM
7791,1005574,Toluca Lake CFM,,,,,,Sancola Avenue & Riverside Drive,Toluca Lake,Los Angeles,California,91356,,,,,,,,,-118.54899999999999,34.1726,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
7799,1000224,Topanga Canyon Certified Farmer's Market,,,,,,120 S. Topanga Canyon Blvd,Topanga,Los Angeles,California,90290,,,,,,,,,-118.605,34.0906,Private business parking lot,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/17/2013 1:32:41 PM
7801,1006481,"Torrance Certified Farmers' Market -Tuesday and saturday- 2200 Crenshaw Blvd Torrance,Ca.90501",,,,,,2200 Crenshaw Blvd,Torrance,Los Angeles,California,90501,January to December,Tue:8:00 AM - 1:00 PM;Sat:8:00 AM - 1:00 PM;,,,,,,,-118.32844399999999,33.8249448,Local government building grounds,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,4/26/2012 1:51:12 PM
8060,1011921,Venice CFM,http://VeniceFarmersMarket.com,,,,,,Venice,Los Angeles,California,90291,01/01/2016 to 12/30/2016,Fri: 7:00 AM-11:00 AM;,,,,,,,-118.465792,33.987218,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,5/4/2016 4:45:24 PM
8152,1001383,W. Covina Saturday CFM,,,,,,W. Covina Parkway & California Ave.,W. Covina,Los Angeles,California,,,,,,,,,,-117.93,34.0686,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8153,1001382,W. Covina Tuesday CFM,,,,,,Garvey and Vincent Streets,W. Covina,Los Angeles,California,,,,,,,,,,-117.926,34.074,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8154,1006335,W. Hollywood Monday CFM,http://www.sfma.net,,,,,Plummer Park,West Hollywood,Los Angeles,California,90046,,,,,,,,,-118.352,34.0941,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8364,1002890,Wellington Square Certified Farmers Market,http://www.wellingtonsquarefarmersmarket.com,https://www.facebook.com/wellingtonsquarefarmersmarket,https://twitter.com/wsfarmersmarket,,,4394 W Washington Blvd.,Los Angeles,Los Angeles,California,90016,01/01/2018 to 12/31/2018,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.334753,34.03979,,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,7/26/2018 7:32:01 PM
8394,1007322,WEST COVINA FARMERS MARKET,http://westcovinafarmersmarket.org,,,,,195 GLENDORA av.,West Covina,Los Angeles,California,91790,01/01/2014 to 12/31/2014,Sat: 8:00 AM-1:00 PM;,,,,,,,-117.92150900000001,34.0706,Closed-off public street,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,5/20/2014 9:37:39 AM
8412,1006334,West Hollywood Thursday Farmers Market,http://www.cafarmersmarkets.org,,,,,647 North San Vicente Blvd.,West Hollywood,Los Angeles,California,90069,,,,,,,,,-118.384,34.0821,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8417,1018650,West LA Farmers Market,http://www.wlafarmersmarket.com,https://www.facebook.com/WestLaFarmersMarket/,,,https://www.instagram.com/westlafarmersmarket/?hl=en,1600 Purdue Ave.,Los Angeles,Los Angeles,California,90025,01/01/2018 to 12/31/2018,Sun: 9:00 AM-2:00 PM;,,,,,,,-118.45067399999999,34.045724,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,12/29/2018 12:51:17 PM
8457,1001877,Westchester Farmers Market,http://www.farmernet.com,,,,,Westchester Park,Westchester,Los Angeles,California,90045,,,,,,,,,-118.39399999999999,33.9586,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8458,1004556,Westchester Howard Hughes Promenade CFM,,,,,,Howard Hughes Promenade,Westchester,Los Angeles,California,,,,,,,,,,-118.39399999999999,33.9802,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8505,1019252,Westwood Village Farmers Market by Farmer Mark,http://www.farmermark.com/westwood/,https://www.facebook.com/farmermarkwv/,,,https://www.instagram.com/farmermarkwv/,1030 Broxton Avenue,Los Angeles,Los Angeles,California,90024,01/04/2018 to 12/31/2020,Thu: 12:00 PM-6:00 PM;,,,,,,,-118.446688,34.061997,,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,9/10/2018 10:08:23 AM
8544,1011897,Whittier Host Lions Certified Farmers Market,,,,,,9401 S Painter Ave,South Whittier ,Los Angeles,California,90605,01/30/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-118.04433200000001,33.95316,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,4/27/2016 9:35:15 AM
8545,1008697,Whittier Tuesday Evening Summer CFM,,,,,,12910 Bailey St.,Whittier ,Los Angeles,California,90601,05/21/2013 to 10/29/2013,Tue: 3:00 PM-7:30 PM;,,,,,,,-118.03818700000001,33.980872999999995,Closed-off public street,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2013 4:34:04 PM
8590,1004295,Wilmington CFM,,,,,,Avalon and L St.,Wilminton,Los Angeles,California,90744,,,,,,,,,-118.26299999999999,33.7867,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
8596,1006659,Wilshire Earth Day Festival,,,,,,Serrano St. and Wilshire St.,LOS ANGELES,Los Angeles,California,,,,,,,,,,-118.307,34.0617,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
8692,1002463,Woodland Hills Farmers Market,http://www.farmernet.com,,,,,6200 Block of Topanga Blvd.,Calabasas,Los Angeles,California,91303,,,,,,,,,-118.605,34.2086,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
